ac_voltage2,dc_current2,ac_voltage1,sampleTime,tdate,dc_voltage1,dc_current4,dc_voltage4,dc_voltage3,dc_current1,key,dc_current3,ac_current1,FALSE,ac_current2,dc_voltage2
337,767,437,1380630978,01/10/2013 10:36,509,545,467,487,564,4.97074E+15,588,13,,32,411
364,553,445,1380630343,01/10/2013 10:26,593,557,484,564,601,6.04469E+15,671,22,,8,431
351,555,445,1380629709,01/10/2013 10:15,482,533,434,478,531,5.03588E+15,539,7,,26,405
364,558,445,1380629074,01/10/2013 10:04,404,615,427,415,524,4.56557E+15,532,15,,37,404
380,558,447,1380628440,01/10/2013 09:54,412,529,440,433,529,4.79983E+15,536,6,,7,406
418,640,449,1380627807,01/10/2013 09:43,544,622,493,558,608,6.25971E+15,632,29,,13,430
418,533,449,1380627174,01/10/2013 09:33,579,570,495,592,612,5.14776E+15,649,6,,4,323
419,564,449,1380626541,01/10/2013 09:22,541,521,458,514,554,6.23325E+15,573,17,,3,430
419,534,449,1380625903,01/10/2013 09:12,547,522,420,518,547,6.08324E+15,560,5,,5,418
445,637,449,1380625271,01/10/2013 09:01,534,516,458,516,547,6.39138E+15,560,13,,14,325
422,662,451,1380624638,01/10/2013 08:50,564,573,433,516,563,6.44326E+15,581,14,,15,429
442,555,452,1380624005,01/10/2013 08:40,537,630,445,506,524,5.71071E+15,551,12,,3,382
447,537,456,1380623373,01/10/2013 08:29,548,634,420,493,550,6.32616E+15,562,25,,3,431
446,594,454,1380622723,01/10/2013 08:19,565,528,472,526,576,4.87955E+15,611,16,,11,436
