text,tdate,key
"Thu Oct  3 09:04:29 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Successful (54 bytes - 4s).",2013-10-03 07:04:34,4641227559403520
"Mon Sep 23 08:22:03 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Unsuccessful.",2013-09-23 06:22:09,4641931934040064
"Thu Sep 26 18:28:49 2013
 (Rwanda).successful (1s) - GSM (2G). Registered on Home Network (-69dbm). Unsuccessful.",2013-09-26 16:28:54,4642859646976000
"Thu Sep 12 18:31:11 2013
 (Rwanda).successful (3s) - UMTS (3G). Registered on Home Network (-107dbm). Successful (51 bytes - 4s).",2013-09-12 16:31:16,4643237604098048
"Wed Sep 18 05:00:54 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-73dbm). Successful (50 bytes - 6s).",2013-09-18 03:01:00,4645986383167488
"Mon Sep 23 15:37:42 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-79dbm). Successful (55 bytes - 5s).",2013-09-23 13:37:48,4647429492178944
"Sat Sep 21 16:50:56 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (54 bytes - 4s).",2013-09-21 14:51:01,4647979247992832
"Thu Oct  3 14:02:17 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (55 bytes - 5s).",2013-10-03 12:02:28,4650504688762880
"Mon Sep 16 14:38:14 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-67dbm). Successful (54 bytes - 6s).",2013-09-16 12:38:20,4651346502352896
"Wed Sep 11 16:25:08 2013
 (Rwanda).successful (4s) - UMTS (3G). Registered on Home Network (-101dbm). Successful (54 bytes - 8s).",2013-09-11 14:25:15,4651621380259840
"Sat Sep 14 08:00:20 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Successful (54 bytes - 5s).",2013-09-14 06:00:24,4652720891887616
"Tue Sep 24 14:45:39 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-75dbm). Successful (54 bytes - 5s).",2013-09-24 12:45:44,4654541958021120
"Mon Sep 30 17:15:55 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-73dbm). Successful (56 bytes - 9s).",2013-09-30 15:16:01,4655658649518080
"Tue Sep 10 07:31:54 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (46 bytes - 4s).",2013-09-10 05:32:00,4657393816305664
"Fri Sep 20 10:49:39 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-77dbm). Successful (55 bytes - 4s).",2013-09-20 08:49:45,4658287169503232
